Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Phi (°);Theta (°)
0;46;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;47;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;48;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;49;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;50;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;51;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;52;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;53;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;54;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;55;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;56;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;57;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;58;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;59;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;60;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;61;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;62;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;63;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;64;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;65;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;66;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;67;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;68;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;69;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;70;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;71;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;72;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;73;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;74;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;75;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;76;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;77;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;78;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;79;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;80;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;81;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;82;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;83;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;84;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;85;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;86;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;87;;3.3306690738754696e-16;nan;1.0;1.6637499999999998e-07;90.0;90.0
0;88;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;89;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;54.735610317245346;135.0
0;90;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;91;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;0.0;0.0
0;92;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;93;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;90.0
0;94;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;135.0
0;95;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;96;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;0.0
0;97;;3.3306690738754696e-16;nan;2.0;3.3274999999999996e-07;90.0;135.0
