Time Step;Label Index;Name (NA);MIL;SVD;Voxel count;Volume (mm³);Surface Area (Lorenson 1987) (mm²);Phi (°);Theta (°)
0;60;;0.012437695097325951;nan;1647.0;1.3175999999999997e-05;0.004673261009688205;80.76932503699769;167.99520878198118
0;61;;2.7755575615628914e-15;nan;1732.0;1.3855999999999997e-05;0.004440105523138815;82.82647728810772;-35.91416528681074
0;62;;0.053784035955798615;nan;1744.0;1.3951999999999998e-05;0.004828711126290308;84.18968402484452;-167.28576082202062
0;63;;0.009330661834703435;nan;1759.0;1.4071999999999998e-05;0.004884582072373451;68.91782869654536;-159.87231959633513
0;64;;0.017888705450613163;nan;1789.0;1.4311999999999998e-05;0.004839582017075515;84.72114690900585;9.70125822341722
0;65;;0.03978118965267308;nan;1792.0;1.4336e-05;0.00487911261374262;84.33732247152196;-151.25667550625744
0;66;;2.7755575615628914e-15;nan;1793.0;1.4343999999999999e-05;0.0038424452872358804;89.0658843041324;121.48445072703014
0;67;;0.15754300920209752;0.9579169310402733;1827.0;1.4615999999999999e-05;0.004970717589260352;76.25350304802242;142.11775354952388
0;68;;0.006934355090746691;nan;1859.0;1.4871999999999998e-05;0.005863907343320685;81.20418748567805;77.72515370290584
0;69;;0.11949799231905234;0.9562010306816795;1926.0;1.5408e-05;0.005152359398530656;70.39683366199816;-103.13464695574828
0;70;;2.7755575615628914e-15;nan;2030.0;1.624e-05;0.0052843683543094865;78.58700406660996;168.5543885209923
0;71;;0.053602142594364466;nan;2118.0;1.6944e-05;0.005445825913885404;71.8505353813131;61.22812909139175
0;72;;1.0;0.9661123385195586;2127.0;1.7015999999999998e-05;0.006654056177643621;76.27776390767673;-73.86058520721812
0;73;;0.17985906158297682;nan;2161.0;1.7287999999999998e-05;0.005398987722099543;78.24858874835691;-95.70809222870149
0;74;;0.06406442664849377;nan;2174.0;1.7392e-05;0.0052607168110874675;87.74561303691318;-92.56309492555025
0;75;;0.21279181685185933;nan;2203.0;1.7624e-05;0.005501581692558794;74.35429469314647;170.3948175841842
0;76;;0.02711073847907075;nan;2208.0;1.7663999999999996e-05;0.005113279877069739;81.6955305081494;-85.38656613521825
0;77;;0.022306716437942797;nan;2294.0;1.8352e-05;0.005512196208689753;76.36527329801365;-88.41612676231767
0;78;;0.12249704811931972;nan;2337.0;1.8696e-05;0.0057021158085112135;80.35539122346273;62.865366022624
0;79;;0.04710695815857657;nan;2354.0;1.8831999999999995e-05;0.005314173279987831;85.11129042553466;82.18166087172094
